OA_MAIS,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_OTVEHWGT,GV_SPLIMIT,OA_AGE,OA_HEIGHT,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,GV_MODELYR,GV_WGTCDTR,OA_BAGDEPLY,OA_MANUSE,OA_SEX,VE_GAD1
0,2100,,,,2,1310,30,57,173,73,169,300,315,5.07,2009,Truck (<=10000 lbs.),Not Deployed,1,Male,Rear
0,1140,8,-22,527,4,1200,30,40,183,91,145,245,115,3.5525,2007,Passenger Car,Not Deployed,1,Male,Left
0,2300,,,,4,1740,30,19,157,47,163,300,115,4.89,2005,Truck (<=10000 lbs.),Deployed,1,Female,Front
0,1210,-10,-11,171,2,1460,30,26,,,145,256,175,3.712,2002,Passenger Car,Not Deployed,1,Female,Front
0,1900,9,-3,132,2,1300,30,36,,,162,290,65,4.698,2004,Passenger Car,Deployed,1,Male,Front
0,2650,,,,2,,30,33,188,118,168,330,,5.544,2005,Truck (<=10000 lbs.),Deployed,1,Male,Front
0,1500,,,,4,,30,42,,,158,278,125,4.3924,2008,Passenger Car,Deployed,1,Male,Front
0,2030,,,,3,,35,78,,,170,296,125,5.032,2004,Truck (<=6000 lbs.),Not Deployed,1,Male,Front
0,2260,,,,2,2210,30,39,170,68,165,293,315,4.8345,2009,Truck (<=10000 lbs.),Not Deployed,1,Male,Rear
0,1890,,,,2,1450,30,33,,,,289,,,2003,Truck (<=6000 lbs.),Deployed,,Female,Front
0,1740,6,-7,138,1,1880,30,55,168,90,153,265,95,4.0545,2003,Truck (<=6000 lbs.),Not Deployed,1,Female,Left
0,1860,-19,-3,483,4,1130,40,30,,,155,289,215,4.4795,2005,Truck (<=6000 lbs.),Not Deployed,1,Male,Right
0,2540,,,,2,1420,45,42,,,174,365,,6.351,2008,Truck (<=10000 lbs.),Deployed,1,Male,Front
0,2780,,,,2,2540,45,48,180,145,173,357,,6.1761,2003,Truck (<=10000 lbs.),Not Deployed,1,Male,Front
0,1490,0,23,96,3,2740,50,25,,,156,258,315,4.0248,2007,Passenger Car,Not Deployed,1,Female,Rear
0,2740,0,-12,376,3,1490,50,24,,,173,303,135,5.2419,2003,Truck (<=10000 lbs.),Not Deployed,1,Male,Front
0,1410,0,-21,268,4,2090,50,83,168,66,150,272,135,4.08,2003,Passenger Car,Deployed,0,Male,Front
0,1500,0,-33,682,1,,35,66,180,108,157,276,135,4.3332,2005,Passenger Car,Deployed,1,Female,Front
0,1630,-6,-10,103,5,1830,50,72,,,158,281,165,4.4398,2008,Passenger Car,Not Deployed,0,Female,Front
0,1460,-21,-12,204,2,1970,35,19,,,148,262,195,3.8776,2008,Passenger Car,Deployed,0,Male,Right
0,1450,0,41,1424,2,1450,45,19,163,61,148,272,315,4.0256,2005,Passenger Car,Not Deployed,1,Female,Rear
0,1880,,,,2,1040,40,60,188,122,167,338,125,5.6446,2003,Truck (<=10000 lbs.),Deployed,0,Male,Front
0,2630,10,-17,733,2,2530,25,35,178,86,166,330,,5.478,2004,Truck (<=10000 lbs.),Not Deployed,1,Male,
0,2100,,,,3,1610,40,32,193,84,158,287,,4.5346,2003,Truck (<=6000 lbs.),Not Deployed,0,Male,Left
0,1480,13,-23,314,2,1590,40,76,157,50,157,278,105,4.3646,2008,Passenger Car,Deployed,1,Female,Front
0,1800,9,-24,603,2,1410,45,48,163,77,149,320,115,4.768,2003,Truck (<=6000 lbs.),Not Deployed,1,Female,Front
0,1150,0,-23,162,2,1680,50,82,157,70,147,262,135,3.8514,2003,Passenger Car,Not Deployed,1,Female,Front
0,1450,13,-35,698,2,1710,35,20,183,73,153,274,115,4.1922,2002,Passenger Car,Deployed,1,Male,Front
0,1710,-12,-33,1085,3,1450,35,23,175,95,159,305,155,4.8495,2006,Passenger Car,Deployed,0,Male,Front
0,1130,,,,4,1670,45,39,,,147,262,125,3.8514,2003,Passenger Car,Not Deployed,0,Female,Left
0,1490,23,-14,951,2,1440,35,52,,,155,267,75,4.1385,2004,Passenger Car,Not Deployed,1,Female,Left
0,1600,0,32,398,4,1740,45,26,,,156,261,315,4.0716,2008,Truck (<=6000 lbs.),Not Deployed,1,Female,Rear
0,1740,0,-31,973,4,1600,45,61,163,54,161,302,135,4.8622,2007,Truck (<=6000 lbs.),Deployed,1,Female,Front
0,1410,0,-7,45,2,930,35,57,178,98,155,273,,4.2315,2009,Passenger Car,Not Deployed,1,Male,
0,2050,3,-4,31,4,1710,50,30,,,169,270,,4.563,2004,Truck (<=6000 lbs.),Deployed,1,Female,Front
0,1400,,,,5,1770,50,39,,,149,233,205,3.4717,2008,Passenger Car,Not Deployed,1,Male,Right
0,1410,-3,-15,198,5,1360,50,52,178,,157,272,145,4.2704,2007,Passenger Car,Not Deployed,1,Female,Front
0,1950,-9,-5,148,2,1480,40,41,,,157,269,195,4.2233,2008,Truck (<=6000 lbs.),Not Deployed,0,Male,Right
0,1580,9,-5,91,2,1350,35,40,180,125,158,272,75,4.2976,2008,Passenger Car,Not Deployed,1,Male,Left
0,1220,11,-9,298,2,1740,25,61,152,82,153,260,85,3.978,2003,Passenger Car,Not Deployed,1,Female,Front
0,1500,-10,-12,280,3,1500,35,76,170,93,156,273,,4.2588,2006,Passenger Car,Deployed,1,Female,Right
0,1500,3,-17,143,2,1500,35,24,170,50,159,272,125,4.3248,2009,Passenger Car,Not Deployed,1,Female,Front
0,1570,0,-26,597,2,1600,25,49,165,68,155,273,135,4.2315,2009,Passenger Car,Deployed,1,Female,Front
0,1330,17,-21,1043,2,1060,50,62,163,75,152,260,95,3.952,2004,Passenger Car,Deployed,1,Male,Front
0,1570,,,,2,2080,40,47,173,118,156,262,,4.0872,2008,Truck (<=6000 lbs.),Not Deployed,1,Male,Front
0,2080,,,,2,1570,,68,152,52,158,287,,4.5346,2006,Truck (<=6000 lbs.),Not Deployed,1,Female,
0,1310,12,-2,59,2,960,35,17,157,73,150,251,55,3.765,2003,Passenger Car,Not Deployed,1,Female,Left
0,1500,,,,2,,40,21,170,66,158,277,145,4.3766,2008,Passenger Car,Deployed,1,Female,Front
0,1400,-18,-15,347,2,1060,45,19,,,157,272,185,4.2704,2004,Passenger Car,Deployed,1,Female,Right
0,1240,-5,-29,323,2,1080,40,21,,,154,265,145,4.081,2007,Passenger Car,Deployed,0,Male,Front
0,1570,11,-60,3147,4,1940,45,73,173,86,156,273,125,4.2588,2006,Passenger Car,Deployed,1,Female,Front
0,1940,-9,-48,1403,4,1570,45,58,168,84,157,295,145,4.6315,2007,Truck (<=6000 lbs.),Deployed,1,Male,Front
0,1200,,,,2,2140,25,18,178,88,147,261,55,3.8367,2002,Passenger Car,Not Deployed,1,Male,Left
0,1520,6,-2,145,4,1140,40,22,,,155,272,65,4.216,2005,Passenger Car,Not Deployed,1,Female,Left
0,1140,-3,-16,75,4,1520,40,80,147,66,147,262,145,3.8514,2004,Passenger Car,Not Deployed,1,Female,Front
0,1460,0,13,150,2,1370,35,50,163,73,158,265,315,4.187,2004,Passenger Car,Not Deployed,1,Female,Rear
0,1760,,,,2,1500,55,45,170,104,160,274,165,4.384,2005,Truck (<=6000 lbs.),Not Deployed,1,Female,Front
0,2420,-4,-12,321,2,1090,25,52,180,100,167,330,155,5.511,2003,Truck (<=10000 lbs.),Deployed,1,Male,Front
0,1500,-11,2,101,2,1600,25,17,,,158,276,235,4.3608,2004,Passenger Car,Not Deployed,,Male,Right
0,1220,-6,-34,447,3,1330,40,82,,,148,261,145,3.8628,2002,Passenger Car,Deployed,0,Male,Front
0,1150,,,,3,,50,62,178,112,143,248,55,3.5464,2007,Passenger Car,Not Deployed,1,Male,Left
0,1430,-12,-34,920,5,1930,40,67,160,77,154,273,155,4.2042,2007,Passenger Car,Deployed,1,Female,Front
0,1350,8,-15,236,2,1650,35,46,175,100,152,269,105,4.0888,2008,Passenger Car,Deployed,1,Female,Front
0,1680,6,0,60,2,1570,35,27,,,161,305,45,4.9105,2003,Truck (<=6000 lbs.),Not Deployed,1,Female,Left
0,1050,,,,2,1320,45,54,,,147,255,,3.7485,2008,Passenger Car,Not Deployed,1,Female,
0,1620,-50,-9,2311,2,1860,25,63,152,109,159,285,,4.5315,2005,Passenger Car,Not Deployed,1,Female,
0,1860,8,-45,1196,2,1620,25,72,157,91,166,291,125,4.8306,2005,Passenger Car,Not Deployed,1,Female,Front
0,1660,-3,-19,185,2,1990,45,36,,,157,286,145,4.4902,2005,Truck (<=6000 lbs.),Deployed,0,Female,Front
0,1990,16,-6,374,2,1660,25,54,,,155,289,65,4.4795,2002,Truck (<=6000 lbs.),Not Deployed,1,Female,Left
0,1400,29,-34,1223,3,1410,35,18,,,150,272,95,4.08,2005,Passenger Car,Deployed,1,Male,Front
0,1440,0,-18,156,2,1790,25,67,170,112,154,273,135,4.2042,2007,Passenger Car,Deployed,1,Male,Front
0,1960,,,,3,1800,45,41,,,168,300,135,5.04,2003,Truck (<=6000 lbs.),Not Deployed,,Female,Front
0,1440,-7,-8,56,4,1170,35,55,165,100,156,262,175,4.0872,2005,Truck (<=6000 lbs.),Not Deployed,1,Female,Right
0,1790,-5,-13,188,3,1380,35,35,178,88,161,278,155,4.4758,2005,Truck (<=6000 lbs.),Not Deployed,1,Male,Front
0,1420,-6,-7,78,2,1150,40,27,,,155,262,175,4.061,2002,Truck (<=6000 lbs.),Deployed,1,Female,Right
0,1210,,,,2,1940,45,28,175,64,147,260,315,3.822,2005,Passenger Car,Deployed,1,Female,Rear
0,1300,-8,-14,264,3,1400,,27,140,57,155,280,165,4.34,2002,Passenger Car,Deployed,1,Female,Front
0,1650,,,,3,1430,40,65,,,154,285,145,4.389,2007,Passenger Car,Deployed,0,Male,Front
0,1500,-22,-8,427,5,1820,25,64,163,70,151,270,205,4.077,2004,Passenger Car,Not Deployed,0,Female,Right
0,2000,19,-33,1340,5,1800,45,57,183,132,158,287,105,4.5346,2007,Truck (<=6000 lbs.),Deployed,1,Male,Front
